LINK NOTA	DATA	CUSTO TOTAL NOTA	PAPEL	OP	QTD	PREÇO R$	PTAX
-	08/08/2016	12,12	MILS3	C	1100	5,98	1,0000
-	25/08/2016	29,09	AGRO3	C	100	12,32	1,0000
-	25/08/2016	29,09	FESA4	C	600	7,64	1,0000
-	25/08/2016	29,09	ITSA4	C	400	8,55	1,0000
-	25/08/2016	29,09	PTBL3	C	1200	3,0	1,0000
-	25/08/2016	29,09	RUMO3	C	700	7,37	1,0000
-	25/08/2016	29,09	SGPS3	C	600	4,29	1,0000
-	25/08/2016	29,09	TECN3	C	700	4,86	1,0000
-	13/12/2016	9,01	TAEE11	C	300	19,45	1,0000
-	13/12/2016	9,01	TAEE11	V	300	19,55	1,0000
-	11/09/2017	11,76	MILS3	V	1100	4,95	1,0000
-	27/10/2017	27,18	EZTC3	C	300	22,75	1,0000
-	27/10/2017	27,18	FLRY3	C	100	29,17	1,0000
-	27/10/2017	27,18	LAME4	C	400	17,79	1,0000
-	27/10/2017	27,18	TIET11	C	900	13,32	1,0000
-	27/10/2017	27,18	WIZS3	C	500	16,10	1,0000
-	16/11/2017	33,80	AGRO3	V	100	12,04	1,0000
-	16/11/2017	33,80	BBDC3	C	100	30,32	1,0000
-	16/11/2017	33,80	FLRY3	C	100	27,51	1,0000
-	16/11/2017	33,80	GRND3	C	200	25,88	1,0000
-	16/11/2017	33,80	ITSA3	C	100	10,01	1,0000
-	16/11/2017	33,80	MDIA3	C	100	46,73	1,0000
-	16/11/2017	33,80	RAIL3	V	700	12,12	1,0000
-	16/11/2017	33,80	TECN3	V	700	3,91	1,0000
-	22/02/2018	11,78	LAME4	V	400	17,10	1,0000
-	22/02/2018	11,78	TIET11	V	900	11,92	1,0000
-	17/04/2018	14,93	MDIA3	C	300	44,57	1,0000
-	17/04/2018	14,93	RADL3	C	200	70,0	1,0000
-	26/10/2018	35,72	FLRY3	C	1300	21,91	1,0000
-	26/10/2018	35,72	RADL3	C	500	65,79	1,0000
-	12/02/2019	21,59	BOVA11	C	450	96,55	1,0000
-	11/04/2019	17,19	BOVV11	V	310	94,99	1,0000
-	12/08/2019	29,59	BBDC3	C	200	30,25	1,0000
-	12/08/2019	29,59	ITUB3	C	200	30,73	1,0000
-	12/08/2019	29,59	ODPV3	C	400	16,15	1,0000
-	20/08/2019	38,42	EZTC3	C	200	35,91	1,0000
-	20/08/2019	38,42	WEGE3	C	200	22,65	1,0000
-	20/08/2019	38,42	EGIE3	C	100	45,0	1,0000
-	20/08/2019	38,42	VIVT3	C	100	43,0	1,0000
-	13/12/2019	20,49	BOVV11	C	130	112,80	1,0000
-	13/12/2019	20,49	BOVV11	C	3	113,09	1,0000
-	18/04/2020	75,73	EZTC3	C	500	29,93	1,0000
-	18/04/2020	75,73	ITUB3	C	1000	22,13	1,0000
-	18/04/2020	75,73	MDIA3	C	200	31,44	1,0000
-	18/04/2020	75,73	ODPV3	C	700	14,59	1,0000
-	18/04/2020	75,73	WEGE3	C	500	38,03	1,0000
-	20/05/2020	11,57	KLBN11	C	600	19,92	1,0000
-	22/06/2021	4,95	GRND3	V	600	9,73	1,0000
-	22/06/2021	4,95	ODPV3	V	300	12,73	1,0000
-	22/06/2021	4,95	WIZS3	V	500	13,76	1,0000
-	12/08/2021	9,30	FESA4	V	500	52,92	1,0000
-	12/08/2021	9,30	FESA4	V	86	52,86	1,0000
-	18/08/2021	2,74	KLBN11	C	200	24,27	1,0000
-	18/08/2021	2,74	VIVT3	C	100	43,38	1,0000
-	20/08/2021	18,68	ARZZ3	C	100	90,40	1,0000
-	20/08/2021	18,68	BBAS3	C	400	29,60	1,0000
-	20/08/2021	18,68	BBSE3	C	400	19,85	1,0000
-	20/08/2021	18,68	EGIE3	C	200	38,50	1,0000
-	20/08/2021	18,68	ENBR3	C	400	18,42	1,0000
-	20/08/2021	18,68	EZTC3	C	600	25,83	1,0000
-	23/08/2021	7,57	EZTC3	C	1000	25,27	1,0000
-	10/09/2021	29,82	BBAS3	C	500	29,56	1,0000
-	10/09/2021	29,82	BBAS3	C	50	29,57	1,0000
-	10/09/2021	29,82	BBSE3	C	1300	19,07	1,0000
-	10/09/2021	29,82	CSAN3	C	300	22,29	1,0000
-	10/09/2021	29,82	ENBR3	C	800	18,09	1,0000
-	10/09/2021	29,82	ENBR3	C	800	18,09	1,0000
-	10/09/2021	29,82	MGLU3	C	500	17,97	1,0000
-	10/09/2021	29,82	PCAR3	C	200	27,41	1,0000
-	10/09/2021	29,82	SOJA3	C	400	13,97	1,0000
-	10/09/2021	29,82	TRIS3	C	800	7,60	1,0000
-	10/09/2021	29,82	VIIA3	C	600	9,32	1,0000
-	22/06/2021	0,00	URA	C	25	21,52	5,0178
-	01/07/2021	0,00	COPX	C	14,517	36,9387	5,0055
-	08/12/2020	0,00	GOOGL	C	4	1804,9999	5,0920
-	08/12/2020	0,00	GOOGL	C	0,216	1805,0	5,0920
-	08/12/2020	0,00	AMZN	C	1	3138,7795	5,0920
-	08/12/2020	0,00	AMZN	C	0,2144	3138,78	5,0920
-	08/12/2020	0,00	FB	C	6	282,6099	5,0920
-	08/12/2020	0,00	FB	C	0,7407	282,61	5,0920
-	08/12/2020	0,00	MSFT	C	9	213,17	5,0920
-	08/12/2020	0,00	MSFT	C	0,3763	213,17	5,0920
-	08/12/2020	0,00	BRK.B	C	0,0648	227,78	5,0920
